Identité;*Analyse;*Code MSSS;Libellé répertoire MSSS;*Gr. Risque;*SYNONYME(S);*Renseignement important;*SECTEUR;TEMPS RÉPONSE (JOURS OUVRABLES*);*PRÉLÈVEMENT SPÉCIMEN;TEST;*Titre d'analyse;Plan d'analyses;Code du Groupe d'analyses;*NOM DU GROUPE D'ANALYSES;COMMENTAIRE;Catégorie d'envoi TMD;
136;Mycobacterium tuberculosis: détection résistance rifampicine (TAAN) sur spécimen primaire;84007;Mycobacterium tuberculosis  détection résistance rifampicine (TAAN) sur spécimen primaire;;BK, TUBERCULOSE, bacille tuberculeux, TB, Complexe TB, Mycobacterium tuberculosis;"Le formulaire suivant doit être complété et acheminé avec l'échantillon: (https://www.inspq.qc.ca/sites/default/files/lspq/formulaire-genexpert-mtb-rif.pdf).
Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).";Mycobactériologie;;Lavage bronchoalvéolaire ou expectoration conservée au réfrigérateur et expédiée sur sachets réfrigérants (ice-pack);TAAN;TAAN de résistance aux antibiotiques;Humain;GXRIF;GeneXpert MTB-RIF;N/A;Catégorie B;
138;Mycoplasma genitalium: détection de résistance (TAAN) sur spécimen clinique;82061;Mycoplasma genitalium  détection de résistance (TAAN) sur spécimen clinique;;Mycoplasma, Mycoplasma genitalium;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;15 à 20 jours ouvrables;Liquide amniotique congelé sur glace sèche;TAAN;Identification;Humain;MGEN;Mycoplasma genitalium;Envoi au LNM.;Catégorie B;
139;Neisseria gonorrhoeae: antibiogramme (dilution en agar);81071;Neisseria gonorrhoeae  antibiogramme (dilution en agar)  ;;Gonorrhée, gonocoque;"Veuillez fournir vos valeurs d'antibiogramme dans le champ ""Autres données pertinentes"".
Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).";Marqueurs épidémiologiques;10 jours ouvrables;Souche - culture;CMI - dilution en gélose;Antibiogramme;Humain;CMIG;CMI N. gono (nouvelle);Si demande urgente, ou lorsqu’une souche non sensible à la céfixime ou à la ceftriaxone est identifiée dans votre laboratoire, veuillez aviser Brigitte Lefebvre au 514-457-2070, poste 2334, afin d’accélérer le processus d’analyse.;Catégorie B;
140;Neisseria gonorrhoeae: détection (TAAN) sur spécimen primaire;81069;Neisseria gonorrhoeae  détection (TAAN) sur spécimen primaire;;Gonorrhée, gonocoque;"Le formulaire suivant doit être complété et acheminé avec l'échantillon: (https://www.inspq.qc.ca/sites/default/files/lspq/formulaire-pcr-gono.pdf).
Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).";Biologie moléculaire;5 jours ouvrables;Écouvillon rectal, endocervical, urétral, urinaire ou de gorge, congelé et expédié sur glace sèche, à moins d’avis contraire du fournisseur de réactif.;TAAN;Recherche d'acide nucléique;Humain;NGPCR;Neisseria gonorrhoeae;Compléter le formulaire Confirmation N. gonorrhoeae par TAAN.;Catégorie B;
141;Neisseria gonorrhoeae: identification (phénotypie) sur colonie;81070;Neisseria gonorrhoeae  identification (phénotypie) sur colonie;;Gonorrhée, gonocoque;Cette analyse consiste en l'identification de la souche par des tests biochimiques. Si la souche est seulement envoyée au LSPQ pour la surveillance provinciale et qu'aucune identification n'est requise, l'analyse "Neisseria gonorrhoeae  programme de surveillance" doit être sélectionnée.;Marqueurs épidémiologiques;10 jours ouvrables;Souche - culture;Identification conventionnelle (tests biochimiques);Identification;Humain;MA2;2. Neisseria;Confirmation de l'identification.;Catégorie B;
142;Neisseria gonorrhoeae: programme de surveillance;81072;Neisseria gonorrhoeae  programme de surveillance;;Gonorrhée, gonocoque, surveillance;"Veuillez fournir vos valeurs d'antibiogramme 
dans le champ ""Autres données pertinentes"".
Les analyses effectuées dans le cadre de la surveillance sont le MALDI-TOF et l'antibiogramme
Si une identification de la souche est requise par des tests biochimiques, veuillez ajouter l'analyse ""Neisseria gonorrhoeae  identification (phénotypie) sur colonie""";Marqueurs épidémiologiques;N/A;Souche - culture;Identification conventionnelle (tests biochimiques), technologie MALDI-TOF, CMI - dilution en gélose;Programme de surveillance;Humain;MA2;2. Neisseria;Programme de surveillance. Lorsqu’une souche non sensible à la céfixime ou à la ceftriaxone est identifiée dans votre laboratoire, veuillez aviser Brigitte Lefebvre au 514-457-2070, poste 2334, afin d’accélérer le processus d’analyse.;Catégorie B;
143;Neisseria meningitidis: antibiogramme (microdilution en bouillon);81066;Neisseria meningitidis  antibiogramme (microdilution en bouillon);;Méningocoque;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;5 à 10 jours ouvrables;Souche - culture;CMI - dilution en gélose;Antibiogramme;Humain;CMIM;CMI Méningo;N/A;Catégorie B;
144;Neisseria meningitidis: détection (TAAN) sur spécimen primaire;81063;Neisseria meningitidis  détection (TAAN) sur spécimen primaire;;Méningocoque;Recherche de S. pneumoniae et/ou H. influenzae peut être demandée sur le même spécimen. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;5 à 10 jours ouvrables;Extrait d'ADN ou liquide biologique stérile (1 ml) sur glace sèche  pour les prélèvements sanguins, utiliser les tubes avec EDTA.;TAAN;Recherche d'acide nucléique;Humain;MA23;3. N. meningitidis - PCR;Envoi au LNM. Recherche de S. pneumoniae et/ou H. influenzae peut être demandée sur le même spécimen.;Catégorie B;
145;Neisseria meningitidis: identification (phénotypie) sur colonie;81064;Neisseria meningitidis  identification (phénotypie) sur colonie;;Méningocoque;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;1 à 2 jours ouvrables (sérogroupage);Souche - culture;Identification conventionnelle (tests biochimiques);Identification;Humain;MA8;8. N. meningitidis et sp.;N/A;Catégorie B;
146;Neisseria meningitidis: programme de surveillance;81067;Neisseria meningitidis  programme de surveillance;;Méningocoque, surveillance;Programme de surveillance. Typage  moléculaire sur demande spéciale en cas d'éclosion. Si demande urgente, contacter le professionnel responsable. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;1 à 2 jours ouvrables (sérogroupage);Souche isolée de site normalement stérile.;Identification conventionnelle (tests biochimiques), CMI - microdilution, agglutination sur lame;Programme de surveillance;Humain;MA8;8. N. meningitidis et sp.;Programme de surveillance. Typage  moléculaire sur demande spéciale en cas d'éclosion. Si demande urgente (sérogroupage), contacter le professionnel responsable.;Catégorie B;
147;Neisseria meningitidis: sérogroupage (agglutination);81065;Neisseria meningitidis  sérogroupage (agglutination);;Méningocoque;"Si demande urgente, contacter le professionnel responsable. 
Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).";Marqueurs épidémiologiques;1 à 2 jours ouvrables (sérogroupage);Souche - culture;Agglutination sur lame;Confirmation;Humain;SEROM;Agglutination N. meningitidis;N/A;Catégorie B;
148;Neisseria spp. autres que N. gonorrhoeae et N. meningitidis:  identification (phénotypie) sur colonie;81073;Neisseria spp. autres que N. gonorrhoeae et N. meningitidis   identification (phénotypie) sur colonie;;Diplocoques Gram négatif;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;10 jours ouvrables;Souche - culture;Identification conventionnelle (tests biochimiques);Identification;Humain;MA8;8. N. meningitidis et sp.;N/A;Catégorie B;
149;Neisseria spp. autres que N. gonorrhoeae et N. meningitidis: antibiogramme (microdilution en bouillon);81074;Neisseria spp. autres que N. gonorrhoeae et N. meningitidis  antibiogramme (microdilution en bouillon);;Diplocoques Gram négatif;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;10 jours ouvrables;Souche - culture;CMI - microdilution;Antibiogramme;Humain;CMIN;CMI Neisseria sp.;N/A;Catégorie B;
150;Nocardia spp: antibiogramme (microdilution en bouillon);84004;Nocardia spp  antibiogramme (microdilution en bouillon);;Nocardia;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycobactériologie;10 à 25 jours ouvrables;Souche - culture;CMI - microdilution;Identification;Humain;AMB;Antibiogramme MB;N/A;Catégorie B;
151;Nocardia spp: identification (séquençage) ;84003;Nocardia spp  identification (séquençage) ;;Nocardia;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycobactériologie;10 à 25 jours ouvrables;Souche - culture;TAAN - séquençage;Identification;Humain;AC;2-Actinomycète;N/A;Catégorie B;
152;Onchocerca volvulus (onchocercose): détection (anticorps);86063;Onchocerca volvulus (onchocercose)  détection (anticorps);;Onchocerose,Onchocerca volvulus;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;Sérologie;Onchocercose - Détection d'anticorps;Humain;ONCH;Onchocercose;Envoi au CNRP;Catégorie B;
153;Oreillons: détection et génotypage (TAAN) sur spécimen clinique;83088;Oreillons  détection et génotypage (TAAN) sur spécimen clinique;;oreillons, mumps, virus des oreillons;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/oreillons-detection-d-acides-nucleiques-et-genotypage).;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Consulter le guide des services du LNM.;TAAN-séquençage;Oreillons - Recherche d'acides nucléiques;Humain;ORE;Oreillons;Envoi au LNM. Disponible au LSPQ en cas d'éclosion.;Catégorie B;
154;Orientia tsutsugamushi: détection (anticorps);82030;Orientia tsutsugamushi  détection (anticorps);;Fièvre fluviale du Japon, Typhus des broussailles;Veuillez préciser l'historique de voyage dans le champ "Pays visité". Le patient doit avoir voyagé en région endémique.;Sérologie;Délai du LNM (15 jours) + 4 jours ouvrables;Sérum (0,5 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA et IFA;Orientia tsutsugamushi - Détection d'anticorps;Humain;ORIE;Orientia tsutsugamushi;Envoi au LNM;Catégorie B;
155;Paragonimus spp.: détection (anticorps);86032;Paragonimus spp.  détection (anticorps);;Paragonimiase, Distomatose pulmonaire, Douve du poumon, P. westermani;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;Western Blot;Paragonimiase - Détection d'anticorps;Humain;PARA;Paragonimiase;Envoi au CNRP, CDC;Catégorie B;
156;Parasites intestinaux: identification (autres que microsporidies) (microscopie);86001;Parasites intestinaux identification (autres que microsporidies) (microscopie);;Amibes, Ankylostomes, Ascaris, Balantidium coli, Clonorchis sinensis, Cryptosporidium, Cyclospora, Cystoisospora belli, Dientamoeba fragilis, Entamoeba histolytica/dispar, Fasciola, Giardia, Hymenolepis, Paragonimus, Protozoaires, Schistosomes, Strongyloides;"Pour de plus amples renseignements sur la recherche de parasites dans les selles, les liquides duodénaux, les pus hépatiques et les expectorations, veuillez vous référer au guide des services approprié: 
(https://www.inspq.qc.ca/lspq/repertoire-des-analyses/parasites-recherche-selles), (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/cryptosporidium-liquide-duodenal), (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/prelevements-hepatiques-parasites) (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/paragonimus-expectorations).";Parasitologie;4 à 10 jours ouvrables;Selles, liquide duodénal, pus hépatique ou expectorations fixé dans le SAF, entreposé et envoyé à la température ambiante.;Coloration et microscopie;Identification;Humain;PA;Parasitologie;"Pour de plus amples renseignements sur la recherche de parasites dans les selles, les liquides duodénaux, les pus hépatiques et les expectorations, veuillez vous référer au guide des services approprié: 
(https://www.inspq.qc.ca/lspq/repertoire-des-analyses/parasites-recherche-selles), (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/cryptosporidium-liquide-duodenal), (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/prelevements-hepatiques-parasites) (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/paragonimus-expectorations)";Catégorie B;
157;Pathogènes entériques: détection multiplex (virus, bactéries et parasites) (TAAN homologué) sur spécimen clinique;83061;Pathogènes entériques  détection multiplex (virus, bactéries et parasites) (TAAN homologué) sur spécimen clinique;;gastroentérites,diarrhées;Veuillez préciser l’indication dans la section « Autres données pertinentes ». Sans cette information, l'analyse ne sera pas effectuée. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses);Biologie moléculaire;24h après la réception de l'échantillon, les jours ouvrables;Échantillon de selles conservé dans un milieu de transport Cary-Blair (minimum 500uL) et acheminé dans les trois jours suivant la date de prélèvement. Expédier les échantillons dans un colis avec sachets de glace (ice-packs); éviter la congélation.;TAAN multiplexe;Pathogènes entériques: détection multiplex (virus, bactéries et parasites) (TAAN homologué) sur spécimen clinique;Humain;BFGI;BioFire Panel GI;Cette analyse pourra être considérée pour les trois indications suivantes : (1) diarrhée chez un receveur d’une allogreffe de cellules souches à risque de développer une réaction du greffon contre l’hôte (GVH), (2) donneur d’une transplantation de matière fécale et (3) éclosion de maladie entérique majeure, inhabituelle ou persistante.;Catégorie B
158;Pathogènes respiratoires: détection multiplex 18 virus et 3 bactéries (TAAN homologué): programme de surveillance;83056;Pathogènes respiratoires  détection multiplex 18 virus et 3 bactéries (TAAN homologué)  programme de surveillance;;SAG, influenza, flu, grippe, virus respiratoires, multiplexe respiratoire, surveillance;Analyse demandée dans le cadre du projet SAG (syndrôme d'allure grippale) en CHSLD.  Pour toute autre demande, veuillez communiquer avec le LSPQ.;Biologie moléculaire;48 heures pour les échantillons hors projet SAG en CHSLD;Échantillon respiratoire (2 ml), conservé au réfrigérateur et expédié sur sachets réfrigérants (ice-pack) si reçu au LSPQ moins de 48h après le prélèvement. Sinon, congelé et expédié sur glace sèche. Éviter les cycles de congélation - décongélation.;TAAN multiplexe;Pathogènes respiratoires - Recherche d'acides nucléiques;Humain;NXTA;Pathogènes respiratoires;N/A;Catégorie B;
159;Plasmodium sp (malaria): détection (anticorps);86052;Plasmodium sp (malaria)  détection (anticorps);;Malaria sérologie, Paludisme, P. falciparum, P. vivax, P. ovale, P. malariae;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;IFA;Malaria - Détection d'anticorps;Humain;MALA;Malaria;Envoi au CNRP ;Catégorie B;
160;Plasmodium sp (malaria): détection (TAAN);86051;Plasmodium sp (malaria)  détection (TAAN);;Malaria, Paludisme, P. falciparum, P. vivax, P. ovale, P. malariae, P. knowlesi;Veuillez noter que le frottis sur goutte épaisse et frottis mince sont les analyses de référence pour le diagnostic.;Parasitologie;Délai du CNRP;Sang total EDTA (4 ml) , Conservé et envoyé directement au CNRPde préférence entre 2 et 8°C.;PCR;Malaria - Recherche d'acides nucléiques;Humain;MALP;Malaria PCR;Envoi au CNRP ;Catégorie B;
161;Pneumocystis: détection (TAAN quantitatif);87050;Pneumocystis  détection (TAAN quantitatif);;Pneumocystis jirovecii, PCP, Pneumocystose, Pneumocystis carinii, Pneumocystis;"Le formulaire de collecte d’informations cliniques TAAN détection- P. jirovecii doit être complété dans un délai de 24 h voir:  (https://www.inspq.qc.ca/sites/default/files/lspq/Formulaire_collecte_info_p_jirovecii.pdf
).

Cette analyse ne doit pas être utilisée comme méthode diagnostique de première intention pour la pneumocystose. Avant de soumettre un échantillon pour cette PCR de détection, nous demandons aux laboratoires que le diagnostic soit effectué au préalable par une méthode conventionnelle (ex. β-D-glucan, immunofluorescence, ou autre coloration).";Biologie moléculaire;3 à 7 jours ouvrables;"Volume d’échantillon demandé pour l’analyse : > 0,5 mL (minimum 0,2 mL).

Spécimens acceptés : Lavage broncho-alvéolaire (préférable) ou tout autre spécimen respiratoire (ex. expectorations et sécrétions bronchiques).

Spécimens acceptés sous réserve : Les écouvillons naso-pharyngés (ENP) peuvent aussi être testés, mais offrent une sensibilité réduite, car la quantité ADN pouvant être prélevée est moindre. L’envoi dans un milieu UTM de 2 mL est suggéré. 

Spécimens non-acceptés : Les spécimens tissulaires (ex. biopsies) ou non respiratoires ne sont pas acceptés. Veuillez nous contacter si une détection est nécessaire sur ces spécimens.

Expedition: spécimen réfrigéré (<48 hrs) sinon congelé (>48hrs)";TAAN- quantitatif;"Pneumocystis jirovecii
Détection d’acides nucléiques (TAAN quantitatif)";Humain;PCP;Pneumocystis jirovecii PCR;"Cette analyse ne doit pas être utilisée comme méthode diagnostique de première intention pour la pneumocystose. Avant de soumettre un échantillon pour cette PCR de détection, nous demandons aux laboratoires que le diagnostic soit effectué au préalable par une méthode conventionnelle.

Pour le moment, il n’existe pas de seuil clinique (copies par µL) pour départager les patients colonisés (asymptomatiques) de ceux ayant une infection véritable à P. jirovecii. Les valeurs de quantification obtenues doivent être interprétées en fonction des manifestations cliniques, des tests radiologiques et autres tests de laboratoires utilisés pour le diagnostic de la pneumocystose.";Catégorie B;
162;Pneumocystis: investigation d'éclosion (génotypage);87051;Pneumocystis  investigation d'éclosion (génotypage);;"Pneumocystis jirovecii
PCP
Pneumocystose
Pneumocystis carinii
Éclosion";"Cette analyse est offerte pour (1) l’investigation d’éclosions présumées (plus de 2 cas) de Pneumocystis jirovecii et (2) patient connu positif pour P. jirovecii avec résistance possible à l’atovaquone ou au TMP-SMX.

Analyse effectuée sur demande seulement. Contacter le laboratoire de mycologie avant l'envoi.";Biologie moléculaire;10-14 jours ouvrables;"Volume d’échantillon demandé pour l’analyse : > 0,5 mL (minimum 0,2 mL).

Spécimens acceptés : Lavage broncho-alvéolaire (préférable) ou tout autre spécimen respiratoire (ex. expectorations et sécrétions bronchiques).

Spécimens acceptés sous réserve : Les écouvillons naso-pharyngés (ENP) peuvent aussi être testés, mais offrent une sensibilité réduite, car la quantité ADN pouvant être prélevée est moindre. L’envoi dans un milieu UTM de 2 mL est suggéré. 

Spécimens non-acceptés : Les spécimens tissulaires (ex. biopsies) ou non respiratoires ne sont pas acceptés. Veuillez nous contacter si une détection est nécessaire sur ces spécimens.

Expedition: spécimen réfrigéré (<48 hrs) sinon congelé (>48hrs)";TAAN- séquençage;Investigation d'éclosion;Humain;PNEU;Génotypage MLST Pneumocystis jirovecii;"Analyse maison, inclure référence JCM C. Maitte 2013

Typage MLST effectué selon le protocole PCR de Maitte et al. (2013) sur les cibles mt26S (région 26 S de l'ADNr mitochondrial), CYB (cytochrome b), SOD (superoxide dismutase), DHPS (dihydropteroate synthase) et ITS1 (région de l'internal transcribed spacer de l'ADNr).

Référence: Maitte C. (2013) Multilocus Sequence Typing of Pneumocystis jirovecii from Clinical Samples: How Many and Which Loci Should Be Used? Journal of Clinical Microbiology 51(19): 2843-2849.

Note: Typage effectué selon un protocole expérimental de recherche. Interpréter les résultats avec circonspection.";Catégorie B;
163;Poliovirus: génotypage (séquençage) sur spécimen clinique;83070;Poliovirus  génotypage (séquençage) sur spécimen clinique;;poliovirus, virus de la polio;Consulter le guide des services du LNM.;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Consulter le guide des services du LNM.;TAAN - génotypage;Poliovirus - Recherche d'acides nucléiques;Humain;POLIO;Poliovirus;Envoi au LNM.;Catégorie A;
164;Powassan: détection (anticorps);83013;Powassan  détection (anticorps);;Powassan;Veuillez spécifier l'historique de voyage et la nature des symptômes dans les champs "Pays visité" et "Autres données pertinentes".;Sérologie;Délai du LNM (14 jours) + 6 jours ouvrables;Sérum (0,5mL) Conservés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C. Le LCR (0,2mL) peut être testé s'il y a présence d'anticorps anti-flavivirus dans le sérum démontré par IHA;IHA;VPOW - Détection d'anticorps;Humain;POW;Powassan;Envoi au LNM.;Catégorie B;
165;Rage: détection (anticorps);83091;Rage  détection (anticorps);;Rabies;Test utilisé uniquement pour mesurer la réponse immunitaire (suivi de vaccination).;Sérologie;Délai du LNM (20 jours) + 6 jours ouvrables;"Sérum (2 ml), LCR (2mL) Concervés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -
20°C.";Détection des anticorps neutralisants;Rage - Dosage anticorps;Humain;RAGE;Rage;Envoi au LNM ;Catégorie B;
166;Rickettsia spp. (groupe des fièvres pourprées): détection (anticorps);82031;Rickettsia spp. (groupe des fièvres pourprées)  détection (anticorps);;Fièvre pourprée des montagnes rocheuses, R. felis, R. rickettsii, R. africae, R. conorii, R. parkeri, R. akari, fièvre à tique africaine, fièvre boutonneuse méditérranéenne, rickettsiose vésiculeuse, rickettsioses du groupe des fièvres pourprées;Épreuve d’immunofluorescence (IFA) des IgG dirigés contre les rickettsies du groupe des fièvres pourprées.  Les rickettsies du groupe des fièvres pourprées englobent les bactéries Rickettsia rickettsii, Rickettsia africae, Rickettsia conorii, Rickettsia parkeri, Rickettsia akari, Rickettsia felis et autres rickettsies du groupe des fièvres pourprées.;Sérologie;Délai du LNM (15 jours) + 4 jours ouvrables;Sérum (0,5 ml)  Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;IFA;Rickettsia - Détection d'anticorps;Humain;RRIC;Rickettsia;Envoi au LNM;Catégorie B;
167;Rickettsia spp. (groupe des fièvres pourprées): détection (TAAN);82032;Rickettsia spp. (groupe des fièvres pourprées)  détection (TAAN);;Fièvre pourprée des montagnes rocheuses, R. felis, R. rickettsii, R. africae, R. conorii, R. parkeri, R. akari, fièvre à tique africaine, fièvre boutonneuse méditérranéenne, rickettsiose vésiculeuse, rickettsioses du groupe des fièvres pourprées;Veuillez spécifier l'espèce recherchée et fournir une justification dans le champ "Autres données pertinentes".;Sérologie;Délai du LNM (15 jours) + 4 jours ouvrables;Sang total (1 ml) EDTA, Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C. Tissu (biopsie de l'escarre) dans un tube à prélèvement stérile conservés et transportés à -20°C.;TAAN - PCR en temps réel;Rickettsia - Recherche d'acides nucléiques;Humain;RICP;Rickettsia PCR;Envoi au LNM;Catégorie B;
168;Rickettsia spp. (groupe des typhus): détection (anticorps);82033;Rickettsia spp. (groupe des typhus)  détection (anticorps);;Typhus, R. prowazekii, R. typhi, Typhus endémique, Typhus murin, Typhus épidémique, Rickettsioses du groupe des typhus;Épreuve d’immunofluorescence (IFA) des IgG dirigés contre les rickettsies du groupe des typhus.  Les rickettsies du groupe des typhus englobent les bactéries Rickettsia typhi et Rickettsia prowazekii.;Sérologie;Délai du LNM (15 jours) + 4 jours ouvrables;Sérum (0,5 ml)  Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;IFA;Rickettsia - Détection d'anticorps;Humain;RTYP;Rickettsia;Envoi au LNM;Catégorie B;
169;Rickettsia spp. (groupe des typhus): détection (TAAN);82034;Rickettsia spp. (groupe des typhus)  détection (TAAN);;Typhus, R. prowazekii, R. typhi, Typhus endémique, Typhus murin, Typhus épidémique, Rickettsioses du groupe des typhus;Veuillez spécifier l'espèce recherchée et fournir une justification dans le champ "Autres données pertinentes".;Sérologie;Délai du LNM (15 jours) + 4 jours ouvrables;Sang total (1 ml) EDTA, Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C. Tissu (biopsie) dans un tube à prélèvement stérile conservés et transportés à -20°C.;TAAN - PCR en temps réel;Rickettsia - Recherche d'acides nucléiques;Humain;RICP;Rickettsia PCR;Envoi au LNM;Catégorie B;
170;Rougeole: génotypage (TAAN) sur spécimen clinique;83085;Rougeole  génotypage (TAAN) sur spécimen clinique;;rougeole, measles;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/rougeole-detection-d-acides-nucleiques-et-genotypage).;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Consulter le guide des services du LNM.;TAAN-séquençage;Rougeole - Recherche d'acides nucléiques;Humain;ROUG;Rougeole;Envoi au LNM.;Catégorie B;
171;Rubéole: (IgG) (mesure de l'avidité);83086;Rubéole  (IgG) (mesure de l'avidité);;Rubéole, avidité, rubella;Le patient doit être positif pour les IgG anti-rubéole. Veuillez fournir les résultats des IgG, de même que le nombre de semaines de grossesse, si applicable, dans le champ "Autres données pertinentes".;Sérologie;Délai du LNM (7 jours) + 8 à 10 jours ouvrables;Sérum ou plasma (0,25 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;Test d'avidité;Rubéole IgG - Avidité;Humain;RUBE;Rubéole IgG avidité;Envoi au LNM.;Catégorie B;
172;Rubéole: détection et génotypage (TAAN);83087;Rubéole  détection et génotypage (TAAN);;rubéole, rubella;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/rubeole-detection-d-acides-nucleiques-et-genotypage).;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Consulter le guide des services du LNM.;TAAN-séquençage;Rubéole - Recherche d'acides nucléiques;Humain;RUB;Rubéole;Envoi au LNM.;Catégorie B;
173;Salmonella spp.: programme de surveillance;81033;Salmonella spp.  programme de surveillance;;Salmonella, surveillance;Programme de surveillance. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;2 à 5 jours ouvrables (sérotypage);Souche - Culture;Sérotypage, typage par séquençage du génome entier;Programme de surveillance;Humain;ENT;Entéro;Programme de surveillance.;Catégorie B;
175;Schistosoma spp.: détection (anticorps);86073;Schistosoma spp.  détection (anticorps);;Bilharziose, S. mansoni, S. haematobium, S. japonicum, S. megongi, Schistosomiase;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA;Schistosomiase - Détection d'anticorps;Humain;SCHI;Schistosomiase;Envoi au CNRP;Catégorie B;
174;Schistosoma spp: identification (microscopie) sur spécimen primaire;86072;Schistosoma spp  identification (microscopie) sur spécimen primaire;;Schistosomes, Schistosomiase urinaire;Pour de plus amples renseignements sur la recherche de parasites dans l'urine, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/urine-parasites).;Parasitologie;3 à 5 jours ouvrables;Urine : culot fixé dans le SAF, entreposé et envoyé à la température ambiante.;Microscopie;Identification;Humain;PA;Parasitologie;Pour de plus amples renseignements sur la recherche de parasites dans l'urine, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/urine-parasites);Catégorie B;
